id,reference_id,internal_id,broker_id,contact_id,user_id,payment_method_id,currency,offline,extra,amount,refunded_amount,status,card_bin_id,ip_address,by_payment_link,captured_at,created_at,updated_at,archived_at,created_by,updated_by
10186062,100513887000006633,0196e023_990e_73c6_8127_fccc2679a6e4,7365,117215,,10000073,KWD,False,{'authorization_code': None},330.0,0.0,Captured,,66.249.93.32,True,2025-05-17 21:27:04.222000+00:00,2025-05-17 21:25:51.513000+00:00,2025-05-17 21:27:04.222000+00:00,,,
10186099,100513828000078013,0196e20a_7e2b_70e2_9f41_d921cf66d4ac,2429,97102,,10000073,KWD,False,{'authorization_code': None},120.0,0.0,Captured,,66.249.93.13,True,2025-05-18 06:18:37.962000+00:00,2025-05-18 06:17:40.677000+00:00,2025-05-18 06:18:37.962000+00:00,,,
10186100,100513829000088426,0196e20a_b028_7108_af8e_59acdb13eb18,1937,46042,,10000073,KWD,False,{'authorization_code': None},311.0,0.0,Captured,,142.250.32.8,True,2025-05-18 06:18:44.167000+00:00,2025-05-18 06:17:53.470000+00:00,2025-05-18 06:18:44.167000+00:00,,,
10186102,100513829000090058,0196e20e_3a59_77ef_88cc_1cf630e7f225,2060,121881,,10000073,KWD,False,{'authorization_code': None},3500.0,0.0,Captured,,66.249.93.77,True,2025-05-18 06:22:31.905000+00:00,2025-05-18 06:21:45.448000+00:00,2025-05-18 06:22:31.906000+00:00,,,
10186101,100513889000083131,0196e20a_c5d4_7469_9aaf_a1bed6b33f3d,2575,10006193,,10000073,KWD,False,{'authorization_code': None},3500.0,0.0,Captured,,142.250.32.4,True,2025-05-18 06:22:36.227000+00:00,2025-05-18 06:17:59.010000+00:00,2025-05-18 06:22:36.227000+00:00,,,
10186104,,0196e20f_8723_7370_aa68_75eb729d93ad,105,3685,,,KWD,True,{},117.4,0.0,Captured,,,,2025-05-13 00:00:00+00:00,2025-05-18 06:23:10.628000+00:00,2025-05-18 06:23:10.628000+00:00,,124,124
10186105,,0196e20f_b4c9_772a_8c74_405f0a815900,105,3685,,,KWD,True,{},25.6,0.0,Captured,,,,2025-05-13 00:00:00+00:00,2025-05-18 06:23:22.314000+00:00,2025-05-18 06:23:22.314000+00:00,,124,124
10186103,167993799,0196e20f_66b4_73ea_9a53_77c2bcf1cd56,1738,91467,27201,10000073,KWD,False,{},400.0,0.0,Not_captured,,142.250.32.7,True,,2025-05-18 06:23:02.337000+00:00,2025-05-18 06:23:31.155000+00:00,,27201,27201
10186106,100513825000082013,0196e211_0c78_750b_8bef_79f982a17f52,2739,84331,,10000073,KWD,False,{'authorization_code': None},350.0,0.0,Captured,,66.249.93.168,True,2025-05-18 06:25:57.994000+00:00,2025-05-18 06:24:50.307000+00:00,2025-05-18 06:25:57.994000+00:00,,,
10186107,100513843000085154,0196e212_2421_71bd_a577_e412ef7bf468,1738,111001,27201,10000073,KWD,False,{'authorization_code': None},400.0,0.0,Captured,,66.249.93.96,True,2025-05-18 06:26:31.054000+00:00,2025-05-18 06:26:01.908000+00:00,2025-05-18 06:26:31.054000+00:00,,27201,27201
10186108,100513842000089208,0196e213_418b_72d4_9706_bcc385134c2c,165,29496,3624,10000073,KWD,False,{'authorization_code': None},250.0,0.0,Captured,,66.249.93.231,True,2025-05-18 06:27:51.242000+00:00,2025-05-18 06:27:14.967000+00:00,2025-05-18 06:27:51.242000+00:00,,3624,3624
10186109,100513829000091029,0196e213_731c_741b_9991_577281b8d37a,1738,91467,27201,10000073,KWD,False,{'authorization_code': None},400.0,0.0,Captured,,142.250.32.40,True,2025-05-18 06:27:56.808000+00:00,2025-05-18 06:27:27.660000+00:00,2025-05-18 06:27:56.808000+00:00,,27201,27201
10186110,100513844000083272,0196e216_ff50_72c7_b3e6_0b4fbca97794,992,114599,,10000073,KWD,False,{'authorization_code': None},220.0,0.0,Captured,,142.250.32.32,True,2025-05-18 06:32:44.949000+00:00,2025-05-18 06:31:20.160000+00:00,2025-05-18 06:32:44.950000+00:00,,,
10186111,100513825000086107,0196e21a_b596_779a_9200_b0141d6932c9,16,121722,,10000073,KWD,False,{'authorization_code': None},500.0,0.0,Captured,,66.249.93.231,True,2025-05-18 06:36:39.816000+00:00,2025-05-18 06:35:23.428000+00:00,2025-05-18 06:36:39.817000+00:00,,,
10186112,,0196e21c_9133_71a4_8f16_0cd181e4b2c0,927,27121,,,KWD,True,{},460.0,0.0,Captured,,,,2025-05-18 00:00:00+00:00,2025-05-18 06:37:25.172000+00:00,2025-05-18 06:37:25.172000+00:00,,2503,2503
10186114,,0196e21e_15d3_7288_8375_76aa9628d69c,1738,122447,,,KWD,True,{},220.0,0.0,Captured,,,,2025-02-19 00:00:00+00:00,2025-05-18 06:39:04.659000+00:00,2025-05-18 06:39:04.659000+00:00,,2988,2988
10186115,,0196e21e_5440_7269_a181_72b710b299c2,5930,95027,,,KWD,True,{},10.0,0.0,Captured,,,,2025-05-18 00:00:00+00:00,2025-05-18 06:39:20.641000+00:00,2025-05-18 06:39:20.641000+00:00,,22673,22673
10186113,167994572,0196e21d_b97d_72e2_90cf_71fcf0c093a2,188,102722,,10000073,KWD,False,{},300.0,0.0,Not_captured,,66.249.93.100,True,,2025-05-18 06:38:41.036000+00:00,2025-05-18 06:39:37.221000+00:00,,,
10186117,,0196e21f_10eb_7365_9729_33acf9629f24,1738,122447,,,KWD,True,{},220.0,0.0,Captured,,,,2025-02-19 00:00:00+00:00,2025-05-18 06:40:08.939000+00:00,2025-05-18 06:40:08.939000+00:00,,2988,2988
10186118,100513828000084675,0196e21f_48f2_70cc_ac5b_a7ea8460df29,188,102722,,10000073,KWD,False,{'authorization_code': None},300.0,0.0,Captured,,66.249.93.35,True,2025-05-18 06:41:00.714000+00:00,2025-05-18 06:40:23.295000+00:00,2025-05-18 06:41:00.714000+00:00,,,
10186116,100513887000089416,0196e21e_fec8_74fc_a3c5_f18dfef416dc,2739,84344,,10000073,KWD,False,{'authorization_code': None},1000.0,0.0,Captured,,66.249.93.12,True,2025-05-18 06:41:02.699000+00:00,2025-05-18 06:40:04.318000+00:00,2025-05-18 06:41:02.699000+00:00,,,
